Category,Product,URL
foundation-makeup,Bobbi Brown Skin Foundation Stick,https://www.sephora.com/product/foundation-stick-P270549?icid2=products%20grid:p270549
foundation-makeup,Laura Mercier Flawless Fusion Ultra-Longwear Foundation,https://www.sephora.com/product/flawless-fusion-ultra-longwear-foundation-P421280?icid2=products%20grid:p421280
foundation-makeup,Bobbi Brown Skin Foundation SPF 15,https://www.sephora.com/product/skin-foundation-spf-15-P270551?icid2=products%20grid:p270551
foundation-makeup,MILK MAKEUP Blur Liquid Matte Foundation,https://www.sephora.com/product/blur-liquid-matte-foundation-P421938?icid2=products%20grid:p421938
foundation-makeup,Natasha Denona Transformatte Pore Vanishing Matte Foundation,https://www.sephora.com/product/transformatte-pore-vanishing-matte-foundation-P434566?icid2=products%20grid:p434566
foundation-makeup,Hourglass Illusion® Hyaluronic Skin Tint,https://www.sephora.com/product/illusion-hyaluronic-skin-tint-P388108?icid2=products%20grid:p388108
foundation-makeup,La Mer The Soft Fluid Long Wear Foundation SPF 20,https://www.sephora.com/product/the-soft-fluid-long-wear-foundation-spf-20-P423742?icid2=products%20grid:p423742
foundation-makeup,tarte babassu foundcealer™ skincare foundation SPF 20,https://www.sephora.com/product/babassu-foundcealer-skincare-foundation-broad-spectrum-spf-20-P442792?icid2=products%20grid:p442792
foundation-makeup,TOM FORD Traceless Soft Matte Foundation,https://www.sephora.com/product/tom-ford-traceless-soft-matte-foundation-P459506?icid2=products%20grid:p459506
foundation-makeup,Hourglass Immaculate® Liquid Powder Foundation Mattifying Oil Free,https://www.sephora.com/product/immaculate-liquid-powder-foundation-mattifying-oil-free-P301802?icid2=products%20grid:p301802
foundation-makeup,bareMinerals Blemish Rescue™ Salicylic Acid Loose Powder Foundation,https://www.sephora.com/product/blemish-rescue-skin-clearing-loose-powder-foundation-P432867?skuId=2107662&icid2=products%20grid:p432867
foundation-makeup,Yves Saint Laurent Touche Eclat Le Teint Radiant Liquid Foundation,https://www.sephora.com/product/touche-eclat-le-teint-radiance-awakening-foundation-spf-22-P405083?icid2=products%20grid:p405083
foundation-makeup,Bobbi Brown Prep & Perfect Skin Long Wear Customizable Set,https://www.sephora.com/product/prep-perfect-skin-long-wear-customizable-set-P445416?icid2=products%20grid:p445416
foundation-makeup,CLINIQUE Moisture Surge CC Cream Hydrating Colour Corrector Broad Spectrum SPF 30,https://www.sephora.com/product/moisture-surge-cc-cream-hydrating-colour-corrector-broad-spectrum-spf-30-P378639?skuId=1509512&icid2=products%20grid:p378639
foundation-makeup,Laura Mercier Silk Crème Oil Free Photo Edition Foundation,https://www.sephora.com/product/silk-creme-oil-free-photo-edition-foundation-P136022?icid2=products%20grid:p136022
foundation-makeup,Lancôme SKIN FEELS GOOD Skin Nourishing Foundation,https://www.sephora.com/product/skin-feels-good-skin-nourishing-foundation-P428823?icid2=products%20grid:p428823
foundation-makeup,Shiseido Synchro Skin Self-Refreshing Foundation SPF 30,https://www.sephora.com/product/synchro-skin-self-refreshing-foundation-spf-30-P449106?icid2=products%20grid:p449106
foundation-makeup,Charlotte Tilbury Light Wonder Foundation,https://www.sephora.com/product/light-wonder-foundation-P434103?icid2=products%20grid:p434103
foundation-makeup,AMOREPACIFIC Color Control Cushion Compact Broad Spectrum SPF 50+,https://www.sephora.com/product/color-control-cushion-compact-broad-spectrum-spf-50-P378121?icid2=products%20grid:p378121
foundation-makeup,Dior Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506
foundation-makeup,TOM FORD Traceless Foundation Stick,https://www.sephora.com/product/traceless-foundation-stick-P422453?icid2=products%20grid:p422453
foundation-makeup,MILK MAKEUP Sunshine Skin Tint SPF 30,https://www.sephora.com/product/sunshine-skin-tint-spf-30-P410176?icid2=products%20grid:p410176
foundation-makeup,Dr. Jart+ Black Label Detox BB Beauty Balm,https://www.sephora.com/product/black-label-detox-bb-beauty-balm-P374568?icid2=products%20grid:p374568
